PORT,DESCRIPTION,STATUS,VLAN,DUPLEX,SPEED,TYPE,MODE,DATAVLAN,VOICEVLAN,ALLOWEDVLANS,NATIVEVLAN,PORTCHANNEL,PCMODE,OTHER,MAC_ADDRESS,IP,MACVLAN,MANAGEMENT_IP,DESTINATION_HOST,REMOTE_PORT,MODEL
Gi1/11,,connected,trunk,full,1000,1000BaseSX,trunk,,,"9,16,24,251,255,330,350,351",,,,"Building configuration...

Current configuration : 184 bytes
!
interface GigabitEthernet1/11
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 9,16,24,251,255,330,350,351
 switchport mode trunk
 no ip address
end
","5006.0473.6397
7010.5c5f.04cc
7010.5c5e.9a66
5cfc.665c.43af
bc67.1cdd.ed30
ac44.f215.d156
5006.0473.6398
f481.39c5.d2c5
0021.5554.df8d
5cfc.665c.6c02
7010.5c5e.177a
5006.0473.dde0
0023.68c9.71b7
b4e9.b0b0.0077
20bb.c021.36b5
5006.0473.637f
7010.5c5e.898d
7010.5c5e.23b1
a08c.fd17.4506
0023.68c9.7701
5006.0473.5ec2
b000.b472.6641
a89d.21a1.7e48
accc.8e56.2a6b
5006.0473.6448
0021.cc69.4be1
0800.1fe5.0971
7010.5c5e.133a
5cfc.665c.69a5
448a.5b54.d424
5006.0473.6443
b05a.dac4.60cc
7010.5c5f.8694","192.168.26.33
192.168.25.138
192.168.25.128
192.168.26.39
192.168.24.28
192.168.25.231
192.168.25.81
192.168.9.163
192.168.24.41
192.168.26.4
192.168.24.84
192.168.25.50
192.168.26.38
192.168.24.45
192.168.26.22
192.168.24.74
192.168.26.35
192.168.9.238
192.168.26.18
192.168.255.21
192.168.16.66
172.20.50.253
192.168.25.127
192.168.16.244
192.168.9.41
192.168.25.170
192.168.25.222
172.20.50.50
192.168.25.154
192.168.9.225
192.168.25.95","Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan9
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan9
Vlan24
Vlan255
Vlan16
Vlan350
Vlan24
Vlan16
Vlan9
Vlan24
Vlan24
Vlan350
Vlan24
Vlan9
Vlan24",192.168.255.21,SLC-Warranty-SW-2960.hq.com,GigabitEthernet1/0/49,cisco WS-C2960X-48FPS-L
Gi1/12,,disabled,1,full,1000,1000BaseSX,,,,,,,,"Building configuration...

Current configuration : 74 bytes
!
interface GigabitEthernet1/12
 switchport
 no ip address
 shutdown
end
",,,,,,,
Gi1/13,port channel to server switches,notconnect,1,full,1000,1000BaseSX,trunk,,,,,66,on,"Building configuration...

Current configuration : 196 bytes
!
interface GigabitEthernet1/13
 description port channel to server switches
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
 channel-group 66 mode on
end
",,,,,,,
Gi1/14,port channel to server switches,connected,trunk,full,1000,1000BaseSX,trunk,,,,,20,on,"Building configuration...

Current configuration : 196 bytes
!
interface GigabitEthernet1/14
 description port channel to server switches
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
 channel-group 20 mode on
end
",,,,192.168.255.10,wtc-slc-mdf1,GigabitEthernet1/1/2,cisco WS-C3650-48PD
Gi1/15,port channel to server switches,notconnect,1,full,1000,1000BaseSX,trunk,,,,,66,on,"Building configuration...

Current configuration : 196 bytes
!
interface GigabitEthernet1/15
 description port channel to server switches
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
 channel-group 66 mode on
end
",,,,,,,
Gi1/16,port channel to server switches,connected,trunk,full,1000,1000BaseSX,trunk,,,,,20,on,"Building configuration...

Current configuration : 196 bytes
!
interface GigabitEthernet1/16
 description port channel to server switches
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
 channel-group 20 mode on
end
",,,,192.168.255.10,wtc-slc-mdf1,GigabitEthernet1/1/1,cisco WS-C3650-48PD
Gi3/1,,connected,9,a-full,a-1000,10/100/1000BaseT,,9,,,,,,"Building configuration...

Current configuration : 89 bytes
!
interface GigabitEthernet3/1
 switchport
 switchport access vlan 9
 no ip address
end
",705a.0f14.33bb,192.168.9.233,Vlan9,,,,
Gi3/2,,connected,16,a-full,a-100,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 116 bytes
!
interface GigabitEthernet3/2
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi3/3,,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 116 bytes
!
interface GigabitEthernet3/3
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
","5006.0473.6643
0001.6ccf.b5fd","192.168.26.8
192.168.16.86","Vlan24
Vlan16",192.168.26.8,SEP500604736643,Port 1,Cisco IP Phone 7945
Gi3/4,,notconnect,16,full,auto,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 116 bytes
!
interface GigabitEthernet3/4
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi3/5,,notconnect,24,full,auto,10/100/1000BaseT,,24,,,,,,"Building configuration...

Current configuration : 90 bytes
!
interface GigabitEthernet3/5
 switchport
 switchport access vlan 24
 no ip address
end
",,,,,,,
Gi3/6,,connected,330,a-full,a-1000,10/100/1000BaseT,,330,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/6
 switchport
 switchport access vlan 330
 switchport voice vlan 24
 no ip address
end
",8478.aced.c465,192.168.25.201,Vlan24,192.168.25.201,SEP8478ACEDC465,Port 1,Cisco IP Phone 8945
Gi3/7,,connected,255,a-full,a-1000,10/100/1000BaseT,,255,,,,,,"Building configuration...

Current configuration : 91 bytes
!
interface GigabitEthernet3/7
 switchport
 switchport access vlan 255
 no ip address
end
",e4c7.2286.ebd8,192.168.255.125,Vlan255,192.168.255.125,fl_service_shop_E,GigabitEthernet0,cisco AIR-CAP3502E-A-K9
Gi3/8,,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 116 bytes
!
interface GigabitEthernet3/8
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
","00e1.6dba.1b04
0023.2456.3143","192.168.24.90
192.168.16.154","Vlan24
Vlan16",192.168.24.90,SEP00E16DBA1B04,Port 1,Cisco IP Phone 7841
Gi3/9,,connected,255,a-full,a-1000,10/100/1000BaseT,,255,,,,,,"Building configuration...

Current configuration : 91 bytes
!
interface GigabitEthernet3/9
 switchport
 switchport access vlan 255
 no ip address
end
",e4c7.2286.ec45,192.168.255.136,Vlan255,192.168.255.136,fl_service_shop_W,GigabitEthernet0,cisco AIR-CAP3502E-A-K9
Gi3/10,N174 vdi,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 139 bytes
!
interface GigabitEthernet3/10
 description N174 vdi
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
","0023.2461.e42e
20bb.c021.2436","192.168.17.145
192.168.25.159","Vlan16
Vlan24",192.168.25.159,SEP20BBC0212436,Port 1,Cisco IP Phone 8945
Gi3/11,,notconnect,2,full,auto,10/100/1000BaseT,,2,,,,,,"Building configuration...

Current configuration : 90 bytes
!
interface GigabitEthernet3/11
 switchport
 switchport access vlan 2
 no ip address
end
",,,,,,,
Gi3/12,,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/12
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",00e1.6dbb.a356,192.168.26.44,Vlan24,192.168.26.44,SEP00E16DBBA356,Port 1,Cisco IP Phone 7841
Gi3/13,,notconnect,16,full,auto,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/13
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi3/14,,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/14
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",20bb.c021.3599,192.168.24.92,Vlan24,192.168.24.92,SEP20BBC0213599,Port 1,Cisco IP Phone 8945
Gi3/15,,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/15
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
","448a.5b54.ed89
5cfc.665c.3770","192.168.16.140
192.168.25.228","Vlan16
Vlan24",192.168.25.228,SEP5CFC665C3770,Port 1,Cisco IP Phone 7965
Gi3/16,,notconnect,16,full,auto,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/16
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi3/17,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet3/17
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.34c1,192.168.25.172,Vlan24,192.168.25.172,SEP20BBC02134C1,Port 1,Cisco IP Phone 8945
Gi3/18,,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/18
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
","5ca4.8afe.4603
001f.b527.425f","192.168.25.131
192.168.17.110","Vlan24
Vlan16",192.168.25.131,SEP5CA48AFE4603,Port 1,Cisco IP Phone 8945
Gi3/19,,notconnect,16,full,auto,10/100/1000BaseT,,16,,,,,,"Building configuration...

Current configuration : 91 bytes
!
interface GigabitEthernet3/19
 switchport
 switchport access vlan 16
 no ip address
end
",,,,,,,
Gi3/20,,notconnect,16,full,auto,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/20
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi3/21,,notconnect,16,full,auto,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/21
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi3/22,,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/22
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
","507b.9d02.3ca8
5ca4.8afe.75a5","192.168.16.77
192.168.25.204","Vlan16
Vlan24",192.168.25.204,SEP5CA48AFE75A5,Port 1,Cisco IP Phone 8945
Gi3/23,,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/23
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
","b4e9.b0b0.008d
78e3.b5b3.1195","192.168.25.149
192.168.16.207","Vlan24
Vlan16",192.168.25.149,SEPB4E9B0B0008D,Port 1,Cisco IP Phone 8945
Gi3/24,,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/24
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",20bb.c021.36ad,192.168.25.143,Vlan24,192.168.25.143,SEP20BBC02136AD,Port 1,Cisco IP Phone 8945
Gi3/35,,notconnect,260,full,1000,10/100/1000BaseT,,260,,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/35
 switchport
 switchport access vlan 260
 no ip address
 speed 1000
 duplex full
end
",,,,,,,
Gi3/36,,notconnect,16,full,auto,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/36
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi3/38,,connected,16,a-full,a-10,10/100/1000BaseT,,16,,,,,,"Building configuration...

Current configuration : 91 bytes
!
interface GigabitEthernet3/38
 switchport
 switchport access vlan 16
 no ip address
end
",,,,,,,
Gi3/40,,connected,16,a-full,a-100,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet3/40
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",0004.f2f5.9978,192.168.24.52,Vlan24,192.168.24.52,SEP0004f2f59978,port 1,Cisco IP Phone 7937
Gi3/41,,connected,20,a-full,a-100,10/100/1000BaseT,,20,,,,,,"Building configuration...

Current configuration : 91 bytes
!
interface GigabitEthernet3/41
 switchport
 switchport access vlan 20
 no ip address
end
",00c0.b7b8.ed50,not found,,,,,
Gi3/42,,notconnect,20,full,auto,10/100/1000BaseT,,20,,,,,,"Building configuration...

Current configuration : 91 bytes
!
interface GigabitEthernet3/42
 switchport
 switchport access vlan 20
 no ip address
end
",,,,,,,
Gi3/45,,notconnect,256,full,auto,10/100/1000BaseT,,256,24,,,,,"Building configuration...

Current configuration : 118 bytes
!
interface GigabitEthernet3/45
 switchport
 switchport access vlan 256
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi3/46,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet3/46
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.3545,192.168.24.131,Vlan24,192.168.24.131,SEP20BBC0213545,Port 1,Cisco IP Phone 8945
Gi3/47,,connected,20,a-full,a-100,10/100/1000BaseT,,20,,,,,,"Building configuration...

Current configuration : 91 bytes
!
interface GigabitEthernet3/47
 switchport
 switchport access vlan 20
 no ip address
end
",acf2.c58d.214b,192.168.20.170,Vlan20,192.168.20.170,WTUTSLCVG224R01.etruckcenter.com,FastEthernet0/0,Cisco VG224
Gi3/48,,connected,20,a-full,a-100,10/100/1000BaseT,,20,,,,,,"Building configuration...

Current configuration : 91 bytes
!
interface GigabitEthernet3/48
 switchport
 switchport access vlan 20
 no ip address
end
",00c0.b7b8.ed00,not found,,,,,
Gi4/1,,notconnect,9,full,auto,10/100/1000BaseT,,9,,,,,,"Building configuration...

Current configuration : 89 bytes
!
interface GigabitEthernet4/1
 switchport
 switchport access vlan 9
 no ip address
end
",,,,,,,
Gi4/2,,notconnect,9,full,auto,10/100/1000BaseT,,9,,,,,,"Building configuration...

Current configuration : 89 bytes
!
interface GigabitEthernet4/2
 switchport
 switchport access vlan 9
 no ip address
end
",,,,,,,
Gi4/3,,connected,16,a-full,a-1000,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 116 bytes
!
interface GigabitEthernet4/3
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",b4e9.b0b0.008f,192.168.25.188,Vlan24,192.168.25.188,SEPB4E9B0B0008F,Port 1,Cisco IP Phone 8945
Gi4/4,*--- Untrusted CAS 1B ---*,notconnect,999,full,auto,10/100/1000BaseT,trunk,999,,"910-916,953,990,999",999,,,"Building configuration...

Current configuration : 295 bytes
!
interface GigabitEthernet4/4
 description --- Untrusted CAS 1B ---
 switchport
 switchport access vlan 999
 switchport trunk encapsulation dot1q
 switchport trunk native vlan 999
 switchport trunk allowed vlan 910-916,953,990,999
 switchport mode trunk
 no ip address
 power inline never
end
",,,,,,,
Gi4/7,n244,connected,9,a-full,a-1000,10/100/1000BaseT,access,9,24,,,,,"Building configuration...

Current configuration : 157 bytes
!
interface GigabitEthernet4/7
 description n244
 switchport
 switchport access vlan 9
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",705a.0f14.4310,192.168.9.13,Vlan9,,,,
Gi4/8,port channels to 5508 primary ,disabled,372,full,auto,10/100/1000BaseT,,372,,"200,252,255",,,,"Building configuration...

Current configuration : 188 bytes
!
interface GigabitEthernet4/8
 description port channels to 5508 primary 
 switchport
 switchport access vlan 372
 switchport trunk allowed vlan 200,252,255
 no ip address
 shutdown
end
",,,,,,,
Gi4/10,,connected,trunk,a-full,a-1000,10/100/1000BaseT,trunk,,,,,30,on,"Building configuration...

Current configuration : 151 bytes
!
interface GigabitEthernet4/10
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
 channel-group 30 mode on
end
",,,,172.20.251.5,SLWP-C3850-MDF,GigabitEthernet1/1/2,cisco WS-C3850-48P
Gi4/11,,notconnect,2,full,auto,10/100/1000BaseT,access,2,,,,,,"Building configuration...

Current configuration : 176 bytes
!
interface GigabitEthernet4/11
 switchport
 switchport access vlan 2
 switchport trunk encapsulation dot1q
 switchport mode access
 switchport nonegotiate
 no ip address
end
",,,,,,,
Gi4/12,,connected,trunk,a-full,a-1000,10/100/1000BaseT,trunk,,,,,30,on,"Building configuration...

Current configuration : 151 bytes
!
interface GigabitEthernet4/12
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
 channel-group 30 mode on
end
",,,,172.20.251.5,SLWP-C3850-MDF,GigabitEthernet2/1/2,cisco WS-C3850-48P
Gi4/20,,connected,330,a-full,a-1000,10/100/1000BaseT,access,330,24,,,,,"Building configuration...

Current configuration : 142 bytes
!
interface GigabitEthernet4/20
 switchport
 switchport access vlan 330
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",5ca4.8afe.f6a0,192.168.24.72,Vlan24,192.168.24.72,SEP5CA48AFEF6A0,Port 1,Cisco IP Phone 8945
Gi4/23,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet4/23
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","7010.5c5f.6357
4439.c43a.b3a1","192.168.26.1
192.168.17.122","Vlan24
Vlan16",192.168.26.1,SEP70105C5F6357,Port 1,Cisco IP Phone 7945
Gi4/24,,connected,9,a-full,a-1000,10/100/1000BaseT,,9,,,,,,"Building configuration...

Current configuration : 90 bytes
!
interface GigabitEthernet4/24
 switchport
 switchport access vlan 9
 no ip address
end
",,,,,,,
Gi4/25,,notconnect,300,full,100,10/100/1000BaseT,access,300,,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet4/25
 switchport
 switchport access vlan 300
 switchport mode access
 no ip address
 speed 100
 duplex full
end
",,,,,,,
Gi4/26,,notconnect,300,full,100,10/100/1000BaseT,access,300,,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet4/26
 switchport
 switchport access vlan 300
 switchport mode access
 no ip address
 speed 100
 duplex full
end
",,,,,,,
Gi4/27,,notconnect,16,full,auto,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet4/27
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi4/28,*- users*,connected,330,a-full,a-1000,10/100/1000BaseT,access,330,24,,,,,"Building configuration...

Current configuration : 163 bytes
!
interface GigabitEthernet4/28
 description - users
 switchport
 switchport access vlan 330
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","f076.1cac.6bf8
20bb.c021.3655","172.20.230.32
192.168.25.244","Vlan330
Vlan24",192.168.25.244,SEP20BBC0213655,Port 1,Cisco IP Phone 8945
Gi4/30,,notconnect,255,full,auto,10/100/1000BaseT,,255,,,,,,"Building configuration...

Current configuration : 92 bytes
!
interface GigabitEthernet4/30
 switchport
 switchport access vlan 255
 no ip address
end
",,,,,,,
Gi4/32,,notconnect,255,full,auto,10/100/1000BaseT,,255,,,,,,"Building configuration...

Current configuration : 92 bytes
!
interface GigabitEthernet4/32
 switchport
 switchport access vlan 255
 no ip address
end
",,,,,,,
Gi4/33,,notconnect,20,full,auto,10/100/1000BaseT,access,20,,,,,,"Building configuration...

Current configuration : 115 bytes
!
interface GigabitEthernet4/33
 switchport
 switchport access vlan 20
 switchport mode access
 no ip address
end
",,,,,,,
